postcode,suburb,lat,lon
4000,BRISBANE,-27.46758,153.027892
4000,BRISBANE ADELAIDE STREET,-27.466517,153.027495
4000,SPRING HILL,-27.460873,153.024454
4001,BRISBANE,-27.603479,152.823141
4001,CENTRAL PLAZA,-27.947415,153.394629
4001,RIVERSIDE CENTRE,-27.85943,153.376476
4001,WATERFRONT PLACE,-27.631021,153.31001
4003,GEORGE STREET,-24.872431,152.348462
4004,SPRING HILL,-24.045265,149.316593
4005,NEW FARM,-27.467878,153.047052
4006,BOWEN HILLS,-27.444163,153.038407
4006,FORTITUDE VALLEY,-27.457442,153.03367
4006,HERSTON,-27.4446,153.018473
4006,NEWSTEAD,-27.444768,153.043053
4007,ASCOT,-27.43027,153.058679
4007,HAMILTON,-27.439306,153.064277
4007,HAMILTON CENTRAL,-23.649692,150.386919
4008,PINKENBA,-27.42257,153.118782
4009,EAGLE FARM,-27.430729,153.091148
4010,ALBION,-27.428026,153.045205
4011,CLAYFIELD,-27.417536,153.056677
4011,HENDRA,-27.419238,153.073694
4012,NUNDAH,-27.40344,153.060428
4012,TOOMBUL,-27.40766,153.059833
4012,WAVELL HEIGHTS,-27.38975,153.049858
4012,WAVELL HEIGHTS NORTH,-27.38975,153.049858
4013,NORTHGATE,-27.389718,153.066343
4014,BANYO,-27.375825,153.076469
4014,NUDGEE,-27.368598,153.087192
4014,NUDGEE BEACH,-27.347485,153.105548
4014,VIRGINIA,-27.36946,153.062076
4017,BRACKEN RIDGE,-27.327545,153.025938
4017,BRIGHTON,-27.306516,153.050851
4017,BRIGHTON EVENTIDE,-27.289478,153.063613
4017,BRIGHTON NATHAN STREET,-27.303486,153.053539
4017,DEAGON,-27.327255,153.055845
4017,SANDGATE,-27.321538,153.069267
4017,SHORNCLIFFE,-27.327589,153.086102
4018,FITZGIBBON,-27.349074,153.031804
4018,TAIGUM,-27.351215,153.046149
4019,CLONTARF,-27.25958,153.08211
4019,CLONTARF BEACH,-27.258844,153.087202
4019,MARGATE,-27.245098,153.106689
4019,MARGATE BEACH,-27.245007,153.112154
4019,WOODY POINT,-27.258621,153.104133
4020,REDCLIFFE,-27.231153,153.115686
4020,REDCLIFFE NORTH,-27.216107,153.11224
4020,SCARBOROUGH,-27.200145,153.11493
4021,KIPPA-RING,-27.226494,153.085287
4022,ROTHWELL,-27.213109,153.048135
4025,BULWER,-27.076847,153.367844
4025,CAPE MORETON,-27.026892,153.452601
4025,COWAN COWAN,-27.125814,153.36877
4025,KOORINGAL,-27.349731,153.419507
4025,TANGALOOMA,-27.176714,153.376063
4029,ROYAL BRISBANE HOSPITAL,-27.44768,153.026906
4030,LUTWYCHE,-27.422714,153.033723
4030,WINDSOR,-27.435277,153.031507
4030,WOOLOOWIN,-27.418093,153.039623
4031,GORDON PARK,-27.414955,153.026877
4031,KEDRON,-27.408347,153.032292
4032,CHERMSIDE,-27.38613,153.032142
4032,CHERMSIDE CENTRE,-27.384021,153.032206
4032,CHERMSIDE SOUTH,-27.391685,153.03128
4032,CHERMSIDE WEST,-27.37862,153.018257
4034,ASPLEY,-27.36386,153.015737
4034,BOONDALL,-27.348677,153.060157
4034,CARSELDINE,-27.346256,153.01394
4034,GEEBUNG,-27.369382,153.047819
4034,ZILLMERE,-27.358288,153.038394
4035,ALBANY CREEK,-27.345529,152.968403
4035,BRIDGEMAN DOWNS,-27.354965,152.994198
4036,BALD HILLS,-27.306169,153.0126
4037,EATONS HILL,-27.337969,152.949561
4051,ALDERLEY,-27.424422,153.000517
4051,ENOGGERA,-27.42446,152.985565
4051,GAYTHORNE,-27.418369,152.986155
4051,GRANGE,-27.426001,153.01479
4051,NEWMARKET,-27.436957,153.006875
4051,WILSTON,-27.43221,153.019599
4053,BROOKSIDE CENTRE,-27.409023,152.980333
4053,EVERTON HILLS,-27.391441,152.972115
4053,EVERTON PARK,-27.406931,152.992265
4053,MCDOWALL,-27.381917,152.988262
4053,MITCHELTON,-27.410888,152.974465
4053,STAFFORD,-27.409722,153.011256
4053,STAFFORD HEIGHTS,-27.391247,153.011369
4054,ARANA HILLS,-27.397523,152.959538
4054,KEPERRA,-27.40916,152.958106
4055,BUNYA,-27.369847,152.937598
4055,FERNY GROVE,-27.405213,152.930694
4055,FERNY HILLS,-27.394344,152.938409
4055,UPPER KEDRON,-27.415979,152.913444
4059,KELVIN GROVE,-27.448419,153.013533
4059,RED HILL,-27.454711,153.006691
4060,ASHGROVE,-27.445603,152.99212
4060,ASHGROVE WEST,-27.449307,152.978508
4061,THE GAP,-27.443306,152.943847
4064,MILTON,-27.471324,153.004781
4064,PADDINGTON,-27.460527,153.002486
4065,BARDON,-27.463451,152.980035
4066,AUCHENFLOWER,-27.475531,152.993415
4066,MOUNT COOT-THA,-27.476495,152.946127
4066,TOOWONG,-27.485567,152.992096
4067,ST LUCIA,-27.493869,153.006059
4067,ST LUCIA SOUTH,-27.502432,153.005669
4068,CHELMER,-27.514343,152.976732
4068,INDOOROOPILLY,-27.497247,152.973849
4068,INDOOROOPILLY CENTRE,-27.499537,152.972812
4068,TARINGA,-27.490788,152.979036
4069,BROOKFIELD,-27.490924,152.897741
4069,CHAPEL HILL,-27.502593,152.950156
4069,FIG TREE POCKET,-27.52507,152.956492
4069,KENMORE,-27.507532,152.939045
4069,KENMORE EAST,-27.509176,152.94769
4069,KENMORE HILLS,-27.49615,152.926702
4069,PINJARRA HILLS,-27.539621,152.903445
4069,PULLENVALE,-27.51695,152.891085
4069,UPPER BROOKFIELD,-27.485601,152.859062
4070,ANSTEAD,-27.545591,152.87227
4070,BELLBOWRIE,-27.561999,152.886806
4070,MOGGILL,-27.570335,152.874633
4072,UNIVERSITY OF QUEENSLAND,-27.548962,152.330088
4073,SEVENTEEN MILE ROCKS,-27.550889,152.958818
4073,SINNAMON PARK,-27.539217,152.952644
4074,JAMBOREE HEIGHTS,-27.5564,152.93284
4074,JINDALEE,-27.534316,152.934935
4074,MIDDLE PARK,-27.555076,152.923851
4074,MOUNT OMMANEY,-27.548455,152.936478
4074,RIVERHILLS,-27.560496,152.909012
4074,SUMNER,-27.563657,152.93626
4074,WESTLAKE,-27.549464,152.910508
4075,CORINDA,-27.538924,152.981769
